date,exchange,market_type,trading_pair,volume
2022-12-10,kucoin,spot,lina/usdt,6426.460741510536
2022-12-10,kraken,spot,mngo/usd,1853.561068273279
2022-12-10,kraken,spot,waves/btc,3106.0313689382183
2022-12-10,binance,spot,kp3r/usdt,940659.9648415742
2022-12-10,binance,spot,alice/usdt,968910.6681768072
2022-12-10,kucoin,spot,kat/btc,1011.9007156720124
2022-12-10,binance,spot,rune/bnb,148938.1143041806
2022-12-10,binance,spot,mith/usdt,6485559.816363251
2022-12-10,kucoin,spot,sfp/usdt,37410.91927280091
2022-12-10,binance,spot,eos/busd,850283.1190056269
2022-12-10,bittrex,spot,exe/usdt,134.75285593563544
2022-12-10,coinbase,spot,zen/usd,13310.965489999997
2022-12-10 00:00:00.000,gemini,spot,index/usd,1.94e-06
2022-12-10,binance,spot,ftm/rub,917887.4211465048
2022-12-10,binance,spot,bch/eur,21788.32603757671
2022-12-10,binance,spot,enj/busd,338920.8506129228
2022-12-10,binance,spot,shib/gbp,17.944262652181155
20221210,bitstamp,spot,bch/eur,18911.798413024288
2022-12-10,binance,spot,idex/btc,149914.52823127955
2022-12-10,binance,spot,knc/usdt,984975.024226888
2022-12-10,bittrex,spot,guts/btc,377.1788854900772
2022-12-10,kucoin,spot,ela/eth,31.367977573828146
2022-12-10,coinbase,spot,mir/usd,223365.0113028447
2022-12-10,binance,spot,aca/busd,281021.8043004731
2022-12-10,binance,spot,om/busd,2318949.9951752243
2022-12-10,binance,spot,grt/try,4458713.115454108
2022-12-10,binance,spot,reef/busd,1818603.651076611
2022-12-10,binance,spot,omg/eth,15800.958009211576
2022-12-10,kucoin,spot,enq/btc,9014.263328147024
2022-12-10,kucoin,spot,ada/btc,57014.0741372891
2022-12-10,coinbase,spot,orn/btc,5710.183749421697
2022-12-10,kucoin,spot,eth/dai,17478.779510619985
2022-12-10,bittrex,spot,xvg/eth,215.58316289346843
2022-12-10,kucoin,spot,stg/usdt,8008.168221924369
2022-12-10,binance,spot,waves/eth,21291.693554969224
2022-12-10,binance,spot,gal/try,288762.3431453649
2022-12-10,kucoin,spot,knc/btc,440.9683331599985
2022-12-10,coinbase,spot,stg/usdt,803.273850918733
2022-12-10,bittrex,spot,solve/usd,297.2466998978129
20221210,bitstamp,spot,nexo/eur,140.06089300143756
2022-12-10,binance,spot,hbar/busd,589839.6252446085
2022-12-10,binance,spot,xlm/eth,36426.98678236845
2022-12-10,kraken,spot,waves/eth,398.643196809744
2022-12-10,bittrex,spot,gny/btc,307.1093310388754
2022-12-10,kraken,spot,ada/btc,24336.368333176437
2022-12-10,kraken,spot,rari/eur,2497.531469225946
2022-12-10,binance,spot,mdt/btc,2021790.2904696784
2022-12-10,binance,spot,hbar/usdt,1254747.3837225093
2022-12-10,coinbase,spot,ksm/usdt,261.0985709530325
20221210,bitstamp,spot,hbar/usd,6377.244143567569
2022-12-10,binance,spot,stmx/busd,182674.35458393005
2022-12-10,kucoin,spot,dyp/usdt,92346.9183404061
2022-12-10,binance,spot,iota/eth,170959.9029981289
2022-12-10,kucoin,spot,algo/usdc,51884.07278369492
2022-12-10,kucoin,spot,omg/eth,85.29360706902305
2022-12-10,binance,spot,forc/btc,100878.70745386693
2022-12-10,bittrex,spot,btc/eur,329614.8470437373
20221210,bitstamp,spot,btc/eur,1565886.0881973554
2022-12-10,kucoin,spot,dappt/usdt,8998.085654021837
2022-12-10,bittrex,spot,0mtc/btc,162.01720213404715
2022-12-10,binance,spot,blz/usdt,608009.9097196371
2022-12-10,coinbase,spot,ada/btc,16209.221690489974
2022-12-10 00:00:00.000,gemini,spot,lqty/usd,23.20711744459307
2022-12-10,kraken,spot,xrp/aud,100989.32569894864
2022-12-10,coinbase,spot,ela/usdt,1246.1288441341896
2022-12-10,kraken,spot,rune/usd,79310.45382824342
2022-12-10,kraken,spot,btc/chf,358424.71101454046
2022-12-10,coinbase,spot,perp/usdt,10429.462789333642
2022-12-10,binance,spot,jst/busd,234597.8085782829
2022-12-10,binance,spot,ern/bnb,193904.56192229112
2022-12-10,bittrex,spot,celo/usd,72.7322412
2022-12-10,kucoin,spot,luna/usdc,165955.28463458692
2022-12-10,binance,spot,avax/busd,2160772.1027246667
2022-12-10,kraken,spot,usdt/aud,52317.20187599417
2022-12-10,binance,spot,pla/busd,4927334.871451656
2022-12-10,coinbase,spot,usdc/eur,84576.69242170347
2022-12-10,binance,spot,mbox/bnb,142124.64013785045
2022-12-10,binance,spot,alpine/busd,790191.801240468
2022-12-10,kraken,spot,kilt/usd,9195.217395468217
2022-12-10,bittrex,spot,xdc/usdt,13281.189719685197
2022-12-10,binance,spot,btc/rub,684125.0126740367
2022-12-10,binance,spot,wtc/btc,37336.499772033865
2022-12-10,binance,spot,ens/btc,179858.2403626612
2022-12-10,binance,spot,qnt/busd,1837355.059335672
2022-12-10,bittrex,spot,xtz/btc,166.0606667190849
2022-12-10,binance,spot,xrp/aud,168037.55751517537
2022-12-10,coinbase,spot,nct/eur,4744.954462103568
2022-12-10,coinbase,spot,pro/usd,20737.017232999995
2022-12-10,bittrex,spot,pay/eth,1.7496014098871864
2022-12-10,binance,spot,hook/btc,11078719.533345371
2022-12-10,kucoin,spot,axp/eth,106.23098777062104
2022-12-10,binance,spot,tfuel/btc,34754.539631461885
2022-12-10,kucoin,spot,dock/btc,713.6926269187741
2022-12-10,binance,spot,waves/eur,93076.56444676258
20221210,bitstamp,spot,audio/btc,3.4226621533208017
2022-12-10,binance,spot,pols/usdt,1888291.009233208
2022-12-10,kucoin,spot,dash/eth,3206.3310008965195
2022-12-10,binance,spot,one/eth,137093.12564283068
2022-12-10,bittrex,spot,med/btc,14.59200798014964
2022-12-10,binance,spot,agld/busd,494528.74435659137
20221210,bitstamp,spot,ltc/eur,2938.0322646408263
2022-12-10,coinbase,spot,cgld/eur,2480.9767879786664
2022-12-10,kraken,spot,usdc/gbp,373076.67112603184
2022-12-10,kraken,spot,wbtc/btc,1558.669008459665
2022-12-10,kucoin,spot,mhc/btc,2842.7393554238383
2022-12-10,binance,spot,iotx/usdt,425921.59000240354
2022-12-10,kraken,spot,link/btc,135769.84679335897
2022-12-10,binance,spot,audio/try,14769.100710266135
2022-12-10,coinbase,spot,pond/usdt,4827.146573182445
2022-12-10,kraken,spot,bch/eth,421.6377086368177
2022-12-10,binance,spot,beta/bnb,99028.96812430109
2022-12-10,binance,spot,alcx/btc,226357.1527171449
2022-12-10,kraken,spot,mln/eth,5007.396829721932
2022-12-10,kraken,spot,ltc/eur,472909.8120722124
2022-12-10,binance,spot,tlm/busd,1046322.983691057
2022-12-10,binance,spot,aca/btc,61012.85795015536
2022-12-10,coinbase,spot,suku/eur,626.317323651746
2022-12-10,binance,spot,alpha/usdt,3154001.109837015
2022-12-10,binance,spot,flow/usdt,4080356.4244684433
2022-12-10,bittrex,spot,bist/usdt,17672.718225148416
2022-12-10,binance,spot,trx/bnb,70178.08726520061
2022-12-10,binance,spot,amb/btc,423705.524054279
2022-12-10,bittrex,spot,akn/usdt,118.32969493970552
2022-12-10,coinbase,spot,rly/usdt,6357.6765964037495
2022-12-10,kucoin,spot,fil/usdt,114476.14822955836
2022-12-10,binance,spot,vet/eth,260675.73058177516
2022-12-10,kucoin,spot,sol/usdc,34581.20378250118
2022-12-10,kucoin,spot,aergo/btc,31681.953006006377
2022-12-10,bittrex,spot,lbc/usdt,324.9394672429444
2022-12-10,binance,spot,link/eur,151931.81680164064
2022-12-10,kucoin,spot,flow/usdt,97040.77000846692
2022-12-10,binance,spot,iota/usdt,1737429.488136992
2022-12-10,kucoin,spot,reap/usdt,124981.46905049194
2022-12-10,binance,spot,bttc/busd,82989.66358439077
2022-12-10,binance,spot,loka/busd,1715299.8213303855
2022-12-10,coinbase,spot,gods/usd,192964.43363479985
2022-12-10,binance,spot,xlm/usdt,1778246.0383857873
2022-12-10,coinbase,spot,wbtc/usd,65936.63990738167
2022-12-10,coinbase,spot,gyen/usd,7297.980950000003
2022-12-10,bittrex,spot,mnw/eth,12.32970344089252
2022-12-10,kucoin,spot,xhv/usdt,17152.59938718873
2022-12-10,kucoin,spot,dot/btc,24492.22777352314
2022-12-10,kucoin,spot,xrp/kcs,11499.689048805723
2022-12-10,binance,spot,dot/btc,2640063.981368146
2022-12-10,kucoin,spot,fsn/usdt,94832.7919898068
2022-12-10,coinbase,spot,fil/usd,1771876.704932124
2022-12-10 00:00:00.000,gemini,spot,rare/usd,1247.7753861039917
2022-12-10,binance,spot,dot/gbp,10761.217900723868
2022-12-10,bittrex,spot,vet/usdt,216.25273135338767
2022-12-10,kraken,spot,aave/gbp,443.0953174506087
2022-12-10,kucoin,spot,abbc/btc,191353.61195843708
2022-12-10,kucoin,spot,asd/usdt,71157.79001039843
2022-12-10,coinbase,spot,dot/gbp,22116.082833091503
2022-12-10,binance,spot,theta/btc,14671.881442182204
2022-12-10,coinbase,spot,snx/btc,7615.246062897007
2022-12-10,bittrex,spot,sushi/eur,188.409580363182
2022-12-10,kucoin,spot,dia/usdt,27206.508563306685
2022-12-10,bittrex,spot,avt/usdt,322.42228935509786
2022-12-10,coinbase,spot,atom/usd,5680308.113412885
2022-12-10,kraken,spot,dot/gbp,11122.268713423391
2022-12-10,binance,spot,vet/bnb,133460.16960642065
2022-12-10,binance,spot,trx/btc,124269.11719845812
2022-12-10,bittrex,spot,trx/btc,9807.323518300493
2022-12-10,kraken,spot,air/usd,3383.5743479308967
20221210,bitstamp,spot,grt/eur,60117.71708962303
2022-12-10,coinbase,spot,dyp/usd,345048.6718260001
2022-12-10,coinbase,spot,rare/usd,115359.65016067596
2022-12-10,kucoin,spot,trx/btc,39733.86390354661
2022-12-10,binance,spot,zen/usdt,1839626.807716248
2022-12-10,kraken,spot,gno/btc,457.7308958769396
2022-12-10,binance,spot,pyr/busd,342842.53350333724
20221210,bitstamp,spot,bat/usd,5080.266277046878
2022-12-10,binance,spot,api3/usdt,973958.2266544836
2022-12-10,bittrex,spot,grt/eth,1270.399531721342
2022-12-10,binance,spot,neo/bnb,85500.6874234194
2022-12-10,kraken,spot,ltc/usdt,71402.80565161158
2022-12-10,kucoin,spot,dia/btc,3261.2735423325485
2022-12-10,binance,spot,axs/brl,115171.5837030213
20221210,bitstamp,spot,btc/usd,11631098.22388963
2022-12-10,binance,spot,btc/bidr,201273.0318723204
2022-12-10,bittrex,spot,eth/btc,155878.3256746425
2022-12-10,binance,spot,enj/usdt,2342340.909999388
2022-12-10,kucoin,spot,forestplus/usdt,30667.588040357845
2022-12-10,kraken,spot,grt/eth,5797.8353387770285
2022-12-10,binance,spot,ygg/btc,157644.87127378557
2022-12-10,coinbase,spot,axs/eur,65372.58938938534
2022-12-10,kucoin,spot,luna/usdt,1327655.7398166456
2022-12-10,kucoin,spot,kcs/btc,19833.892851690696
2022-12-10,binance,spot,qnt/usdt,2925983.300044955
2022-12-10,binance,spot,btc/brl,5541645.776605785
2022-12-10,coinbase,spot,fort/usdt,48.99131197808957
2022-12-10,binance,spot,lazio/busd,2257723.6197787314
2022-12-10 00:00:00.000,gemini,spot,snx/usd,13687.52792727376
2022-12-10,binance,spot,dcr/usdt,964819.8849087054
2022-12-10,kraken,spot,snx/usd,2097.263478805241
2022-12-10,binance,spot,powr/busd,1995599.801652996
2022-12-10,coinbase,spot,coval/usd,62040.122430000025
2022-12-10,binance,spot,dia/btc,76798.50774666548
2022-12-10,kraken,spot,aud/jpy,260.2834532212052
2022-12-10,binance,spot,nuls/usdt,3472284.674439469
2022-12-10,coinbase,spot,eth/btc,2123750.6716522668
2022-12-10 00:00:00.000,gemini,spot,eth/btc,154104.4719500247
2022-12-10,bittrex,spot,dcr/usdt,1347.9937297290703
2022-12-10,binance,spot,perp/btc,51997.12108875413
2022-12-10,binance,spot,avax/bnb,59871.91902223792
2022-12-10,binance,spot,qtum/busd,618532.7033731217
2022-12-10,bittrex,spot,xem/eth,99.10780478420776
2022-12-10,coinbase,spot,skl/eur,10673.608653907446
2022-12-10,kraken,spot,srm/usd,8120.43796113065
2022-12-10,kraken,spot,gno/eur,839.908635231279
2022-12-10,coinbase,spot,lrc/usdt,17282.086929317797
2022-12-10,kraken,spot,ksm/gbp,883.4887707308297
2022-12-10,kucoin,spot,iota/btc,3631.884869711801
2022-12-10 00:00:00.000,gemini,spot,skl/usd,4880.487215676173
2022-12-10,kraken,spot,avax/usd,549868.8778656133
2022-12-10,bittrex,spot,qtum/usdt,10.172173226752497
2022-12-10,bittrex,spot,spi/btc,8.205619451648971
2022-12-10,coinbase,spot,keep/usd,310425.50255113235
2022-12-10,kucoin,spot,idex/usdt,13806.72166332543
2022-12-10,kucoin,spot,time/eth,1758.3832631695798
2022-12-10,coinbase,spot,gal/usdt,16463.689202529662
2022-12-10,bittrex,spot,maid/btc,158.04143240162946
2022-12-10,binance,spot,btc/gbp,8222152.846224813
20221210,bitstamp,spot,btc/gbp,284725.9458171788
2022-12-10,bittrex,spot,qnt/btc,5868.288112695816
2022-12-10,binance,spot,pla/usdt,5315943.533658916
20221210,bitstamp,spot,skl/eur,786.525329139574
2022-12-10,kucoin,spot,lrc/usdt,63141.32518464698
2022-12-10,kraken,spot,keep/usd,45419.83704755088
2022-12-10,kucoin,spot,ctsi/usdt,64775.72882082933
2022-12-10,binance,spot,astr/eth,51189.57359952932
2022-12-10,binance,spot,ern/usdt,5760194.292533424
2022-12-10,kraken,spot,btc/gbp,378218.5099017575
2022-12-10,binance,spot,qnt/btc,424004.7082897422
2022-12-10,kucoin,spot,ampl/eth,12523.364292053424
2022-12-10,bittrex,spot,vite/btc,51.72984082375712
2022-12-10,binance,spot,alpaca/usdt,273508.3729185629
2022-12-10,bittrex,spot,ont/usdt,2.730342667395289
2022-12-10,coinbase,spot,fida/usd,153547.7147057265
2022-12-10,kucoin,spot,winx/btc,3496.834039120388
2022-12-10,bittrex,spot,rsv/usdt,42613.61940946977
2022-12-10,bittrex,spot,etc/usd,495.04901881959614
2022-12-10,binance,spot,ont/usdt,2342476.4052685755
2022-12-10,bittrex,spot,uni/usd,94.03818565582613
2022-12-10,coinbase,spot,ape/eur,176358.81256006745
2022-12-10,binance,spot,dar/eth,165933.7642238559
2022-12-10,kraken,spot,etc/usd,4052.844707159449
2022-12-10,binance,spot,polyx/usdt,529023.4924937428
2022-12-10,kraken,spot,uni/usd,129612.3425532118
2022-12-10,binance,spot,usdt/dai,945895.9345129807
2022-12-10,bittrex,spot,zil/usd,102.06679513179176
2022-12-10,kucoin,spot,ceek/usdt,38714.025175332936
2022-12-10,kucoin,spot,usdt/dai,152267.31238673464
2022-12-10,bittrex,spot,pundix/usdt,104.41554470071192
2022-12-10,binance,spot,bake/btc,49785.901868044544
2022-12-10,binance,spot,band/usdt,2454749.6033997554
2022-12-10,binance,spot,rsr/bnb,6944.570915527135
2022-12-10,binance,spot,zen/eth,384945.1278058468
2022-12-10,kraken,spot,mana/eth,694.7991756633268
